start,end,summed_net_load,file_name
1993-11-21 17:00:00,1993-11-28 16:00:00,20681762.172490045,1993_181_90m_c1.25_Co2L0.0-1H_MC_solved.nc
1993-10-30 16:00:00,1993-11-06 15:00:00,19926494.116700485,1993_181_90m_c1.25_Co2L0.0-1H_SC_solved.nc
1993-11-21 17:00:00,1993-11-28 16:00:00,36456669.475420795,1993_181_90m_c1.25_Co2L0.0-1H_HS_solved.nc
1994-06-24 00:00:00,1994-06-30 23:00:00,2522135.243073314,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1993-10-31 14:00:00,1993-11-07 13:00:00,20224508.345662456,1993_181_90m_c1.25_Co2L0.0-1H_HT_solved.nc
2020-06-24 00:00:00,2020-06-30 23:00:00,3612963.943884394,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2020-01-19 06:00:00,2020-01-26 05:00:00,18861832.14844942,2019_181_90m_c1.25_Co2L0.0-1H_LT_solved.nc
2019-11-13 06:00:00,2019-11-20 05:00:00,18096298.81385073,2019_181_90m_c1.25_Co2L0.0-1H_MC_solved.nc
2003-01-04 09:00:00,2003-01-11 08:00:00,21946912.86604201,2002_181_90m_c1.25_Co2L0.0-1H_LT_solved.nc
2019-11-14 18:00:00,2019-11-21 17:00:00,17269332.573302858,2019_181_90m_c1.25_Co2L0.0-1H_HT_solved.nc
2003-06-24 00:00:00,2003-06-30 23:00:00,3560937.4793588123,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2019-11-28 09:00:00,2019-12-05 08:00:00,26217342.74725948,2019_181_90m_c1.25_Co2L0.0-1H_HS_solved.nc
2003-01-04 09:00:00,2003-01-11 08:00:00,23315549.09194337,2002_181_90m_c1.25_Co2L0.0-1H_UC_solved.nc
1993-11-21 17:00:00,1993-11-28 16:00:00,20158011.004260615,1993_181_90m_c1.25_Co2L0.0-1H_LT_solved.nc
2003-01-04 09:00:00,2003-01-11 08:00:00,36316185.023423925,2002_181_90m_c1.25_Co2L0.0-1H_HS_solved.nc
1993-11-21 18:00:00,1993-11-28 17:00:00,21052660.390426822,1993_181_90m_c1.25_Co2L0.0-1H_UC_solved.nc
2003-01-03 11:00:00,2003-01-10 10:00:00,21208884.639395125,2002_181_90m_c1.25_Co2L0.0-1H_HT_solved.nc
2019-11-13 06:00:00,2019-11-20 05:00:00,18090773.993305173,2019_181_90m_c1.25_Co2L0.0-1H_UC_solved.nc
